team,elo_inhouse
argentina,2222.7
spain,2201.6
france,2160.6
england,2125.3
colombia,2103.4
brazil,2095.1
mexico,2076.3
norway,2030.8
morocco,2024.4
portugal,2023.5
belgium,1987.1
japan,1983.9
germany,1981.8
australia,1981.2
netherlands,1976.3
switzerland,1974.2
uruguay,1942.0
croatia,1938.2
austria,1938.1
italy,1926.6
denmark,1926.5
ecuador,1920.9
united states,1908.5
paraguay,1904.9
algeria,1886.9
canada,1880.1
scotland,1877.2
turkey,1876.3
yugoslavia,1871.0
iran,1866.2
ivory coast,1849.9
senegal,1843.9
sweden,1843.8
egypt,1843.6
nigeria,1841.6
ukraine,1839.4
russia,1838.9
south korea,1836.5
venezuela,1822.5
panama,1806.2
jersey,1803.3
czechoslovakia,1801.5
chile,1801.4
greece,1801.1
serbia,1799.5
basque country,1798.7
uzbekistan,1786.9
peru,1770.3
kosovo,1769.7
poland,1767.8
hungary,1765.6
republic of ireland,1758.7
dr congo,1757.7
guernsey,1744.8
costa rica,1744.4
wales,1741.3
slovenia,1736.4
german dr,1730.8
czech republic,1730.4
occitania,1724.2
slovakia,1722.9
northern cyprus,1717.9
mali,1717.9
bolivia,1716.7
iraq,1715.9
cameroon,1711.0
honduras,1710.5
iraqi kurdistan,1710.1
isle of man,1709.0
saudi arabia,1708.6
georgia,1708.5
padania,1706.7
israel,1698.8
romania,1698.5
jordan,1696.9
south africa,1686.5
new zealand,1684.3
ghana,1679.0
cape verde,1676.0
albania,1671.6
burkina faso,1665.9
united arab emirates,1665.3
haiti,1661.9
northern ireland,1660.4
isle of wight,1660.0
jamaica,1654.6
catalonia,1654.3
tunisia,1651.2
guatemala,1647.5
north macedonia,1647.4
ynys mon,1639.7
abkhazia,1637.5
bosnia and herzegovina,1634.8
county of nice,1628.5
iceland,1627.5
karpatalja,1618.6
new caledonia,1598.9
syria,1598.4
finland,1596.9
kernow,1595.0
andalusia,1593.1
rhodes,1591.3
panjab,1590.5
suriname,1590.5
curacao,1590.1
palestine,1587.2
belarus,1583.3
reunion,1583.0
tamil eelam,1581.2
angola,1579.3
guinea,1579.0
qatar,1577.4
chameria,1575.3
oman,1572.9
kurdistan,1566.9
artsakh,1566.8
menorca,1564.2
zanzibar,1558.5
corsica,1556.4
arameans suryoye,1556.1
ellan vannin,1554.2
zambia,1554.1
yorkshire,1552.8
china,1550.8
quebec,1546.2
cascadia,1544.6
benin,1544.5
gabon,1542.0
bahrain,1540.9
gambia,1539.6
trinidad and tobago,1538.1
bulgaria,1535.7
thailand,1532.8
galicia,1529.8
libya,1528.8
uganda,1528.7
maule sur,1528.3
western armenia,1526.3
asturias,1520.5
guadeloupe,1518.3
surrey,1516.2
